-15,8,1
-30,16,2
-4.75,3,0
20.5,-10,-2
5.5,-2,-1
-9.5,6,0
-24.5,14,1
-39.5,22,2
-14.25,9,0
11,-4,-2
-4,4,-1
-19,12,0
-34,20,1
-49,28,2
-23.75,15,0
1.5,2,-2
-13.5,10,-1
-28.5,18,0
-43.5,26,1
-58.5,34,2
-33.25,21,0
-8,8,-2
4,-2.5,0
16,-13,2
1,-5,3
-14,3,4
11.25,-10,2
36.5,-23,0
21.5,-15,1
6.5,-7,2
-8.5,1,3
-23.5,9,4
1.75,-4,2
27,-17,0
12,-9,1
-3,-1,2
22.25,-14,0
47.5,-27,-2
32.5,-19,-1
17.5,-11,0
2.5,-3,1
-12.5,5,2
12.75,-8,0
38,-21,-2
23,-13,-1
8,-5,0
-7,3,1
-22,11,2
3.25,-2,0
28.5,-15,-2
13.5,-7,-1
-1.5,1,0
-16.5,9,1
-31.5,17,2
-6.25,4,0
19,-9,-2
4,-1,-1
-11,7,0
-26,15,1
-41,23,2
-15.75,10,0
9.5,-3,-2
-5.5,5,-1
-20.5,13,0
-35.5,21,1
-50.5,29,2
-25.25,16,0
0,3,-2
-15,11,-1
-30,19,0
-45,27,1
-60,35,2
-34.75,22,0
-9.5,9,-2
2.5,-1.5,0
14.5,-12,2
-0.5,-4,3
-15.5,4,4
9.75,-9,2
35,-22,0
20,-14,1
5,-6,2
-10,2,3
-25,10,4
0.25,-3,2
25.5,-16,0
10.5,-8,1
-4.5,0,2
20.75,-13,0
46,-26,-2
31,-18,-1
16,-10,0
1,-2,1
-14,6,2
11.25,-7,0
36.5,-20,-2
21.5,-12,-1
6.5,-4,0
-8.5,4,1
-23.5,12,2
1.75,-1,0
27,-14,-2
12,-6,-1
-3,2,0
-18,10,1
-33,18,2
-7.75,5,0
17.5,-8,-2
2.5,0,-1
-12.5,8,0
-27.5,16,1
-42.5,24,2
-17.25,11,0
8,-2,-2
-7,6,-1
-22,14,0
-37,22,1
-52,30,2
-26.75,17,0
-1.5,4,-2
-16.5,12,-1
-31.5,20,0
-46.5,28,1
-61.5,36,2
-36.25,23,0
-11,10,-2
1,-0.5,0
13,-11,2
-2,-3,3
-17,5,4
8.25,-8,2
33.5,-21,0
18.5,-13,1
3.5,-5,2
-11.5,3,3
-26.5,11,4
-1.25,-2,2
24,-15,0
9,-7,1
-6,1,2
19.25,-12,0
44.5,-25,-2
29.5,-17,-1
14.5,-9,0
-0.5,-1,1
-15.5,7,2
9.75,-6,0
35,-19,-2
20,-11,-1
5,-3,0
-10,5,1
-25,13,2
