"Chord","Interval","Expt. Sonority","Theoretical Sonority",,,,,,
"Class","Structure","Roberts","Helmholtz","P&L","K&K","Parncutt","Sethares","C&F","T.H.E."
"I. Major","4-3",1,3,4,1,1,4,1,2
,"3-5",2,9,11,11,6,8,5,4
,"5-4",3,1,2,6,3,2,4,1
"II. Minor","3-4",4,3,4,1,4,4,2,7
,"4-5",5,1,2,6,6,2,3,13
,"5-3",6,9,11,11,10,8,6,9
"III. Diminished","3-3",7,13,13,6,9,12,12,12
,"3-6",8,11,8,9,5,10,7,8
,"6-3",9,11,8,9,8,10,10,11
"IV. Augmented","4-4",10,5,10,13,2,12,13,10
"V. Suspended 4th","5-2",,5,6,1,,6,8,3
,"2-5",,5,6,1,,6,11,5
,"5-5",,8,1,1,,1,9,6
