"Lower","Upper","T.H.E.","MLJI","MLJI prob"
702,702,5.77289183012587,"4/6/9",0.0775949263971548
600,600,5.7902606656242,"5/7/10",0.0322615525833345
832,832,5.80334701482419,"5/8/13",0.0318805282409328
951,951,5.82279554998273,"4/7/12",0.0318693681306855
137,137,5.83617956474491,"12/13/14",0.030927524226253
99,99,5.84452454608467,"16/17/18",0.0252904547925563
171,171,5.84462948128287,"9/10/11",0.0371988559907993
192,192,5.84689650581254,"8/9/10",0.0392817300807022
1008,1008,5.84777103185681,"5/9/16",0.039284704711604
770,770,5.85003390038553,"7/11/17",0.0255134065797206
217,217,5.85201474943876,"7/8/9",0.0377108756611819
458,458,5.85338102930826,"10/13/17",0.0333002985956444
544,544,5.85512474719855,"8/11/15",0.0377676064446722
1042,1042,5.85623988213157,"6/11/20",0.0378681776223624
249,249,5.85979500772603,"6/7/8",0.0318261728795526
427,427,5.86016106590877,"11/14/18",0.0277025254078419
497,497,5.86231365589106,"9/12/16",0.0385078295366118
644,644,5.86864491559875,"9/13/19",0.026539267747204
1066,1066,5.86948219747604,"7/13/24",0.0336007552733021
904,904,5.87002595240641,"6/10/17",0.0221471780686454
881,881,5.87051556511398,"9/15/25",0.028737488391564
1111,1111,5.87461190177319,"10/19/36",0.0234822908826253
292,292,5.8751664019775,"5/6/7",0.0194080198301852
923,923,5.87852042228243,"10/17/29",0.0265498216964395
401,401,5.87878598449277,"12/15/19",0.0210676508287809
793,793,5.87930387306207,"12/19/30",0.0242112160662288
351,351,5.88140450799729,"18/22/27",0.0205249435801608
747,747,5.88271670193765,"11/17/26",0.0218315589050617
373,373,5.88362066350747,"13/16/20",0.0189649491633541
333,333,5.8897191238034,"19/23/28",0.0182054051394438
0,0,4.14220558530341,"1/1/1",0.438880640820319
1200,1200,5.18528014235984,"1/2/4",0.227818027359687
