"R1","R2","R3","Lower-cents","Upper-cents","T.H.E.",,"Pmax","JI1",,,"P2","JI2",,
1,1,1,0,0,4.14220558530341,247,0.438880640820319,1,1,1,0.0021724999170003,100,99,99
1,1,2,0,1200,4.57907918409373,235,0.348701737210861,1,1,2,0.00357291179496942,59,59,119
1,2,2,1200,0,4.9349442153698,248,0.287760630414279,1,2,2,0.00294848932717902,59,119,118
1,2,3,1200,701.955000865387,5.09305073834614,259,0.252089190050902,1,2,3,0.00387421673378228,39,78,118
1,2,4,1200,1200,5.18528014235984,259,0.227818027359687,1,2,4,0.00466726776784634,30,60,121
2,2,3,0,701.955000865387,5.26203947465985,251,0.197088314452409,2,2,3,0.00605787852886742,39,39,59
2,3,3,701.955000865387,0,5.40866065126153,256,0.17598587595675,2,3,3,0.00540808121712319,39,58,58
2,3,4,701.955000865387,498.044999134612,5.49239252073549,261,0.159945596227687,2,3,4,0.00491622750880331,39,59,78
2,3,5,701.955000865387,884.358712999447,5.52976666275354,266,0.149181978706541,2,3,5,0.0052545706625807,35,52,87
2,3,6,701.955000865387,1200,5.57227453154635,256,0.140648125518196,2,3,6,0.00432308359868728,39,59,117
2,4,5,1200,386.313713864835,5.55160255043553,257,0.135471403150368,2,4,5,0.00693585709355043,23,46,58
2,4,7,1200,968.825906469125,5.57179616661453,262,0.12001799654294,2,4,7,0.00860756835961083,17,34,60
3,3,4,0,498.044999134612,5.48069595637574,259,0.137239525090308,3,3,4,0.00843479618864631,29,29,39
3,3,5,0,884.358712999447,5.48414127246696,246,0.12607612420713,3,3,5,0.00965769733990497,25,25,42
3,4,4,498.044999134612,0,5.56584100473743,260,0.126970218023057,3,4,4,0.00779276217143388,31,41,41
3,4,5,498.044999134612,386.313713864835,5.64444330622676,265,0.118955240370783,3,4,5,0.00521431278352759,43,57,71
3,4,6,498.044999134612,701.955000865387,5.65627521130706,265,0.111721632028837,3,4,6,0.00686645625891003,29,39,58
3,4,7,498.044999134612,968.825906469125,5.67318840170432,266,0.105631479366088,3,4,7,0.00745872651417489,26,35,61
3,4,8,498.044999134612,1200,5.70052208642345,262,0.101392333168312,3,4,8,0.00622292653103863,31,41,82
3,5,5,884.358712999447,0,5.633004198177,254,0.109526319132451,3,5,5,0.00840679306024848,23,38,38
3,5,6,884.358712999447,315.641287000553,5.67427335160034,261,0.103303147783816,3,5,6,0.00791323925786688,25,42,50
3,5,7,884.358712999447,582.51219260429,5.71390074231752,269,0.0985448508757264,3,5,7,0.00595035733512947,29,48,67
3,5,8,884.358712999447,813.686286135165,5.70310063137252,267,0.0942791821760407,3,5,8,0.00825886782360193,20,33,53
3,5,9,884.358712999447,1017.59628786594,5.72726625266795,264,0.0909126158782997,3,5,9,0.00696409834973332,25,42,75
3,5,10,884.358712999447,1200,5.74165242902216,270,0.0874726059593904,3,5,10,0.00671404008247523,23,38,76
3,6,7,1200,266.870905603738,5.68259812475502,257,0.0920808324304268,3,6,7,0.00990591514504082,17,34,40
3,6,8,1200,498.044999134612,5.67442362631742,259,0.088272808278749,3,6,8,0.0107859282772223,16,32,43
3,6,10,1200,884.358712999447,5.67564704016645,261,0.0813342577291099,3,6,10,0.0124371658263325,11,22,37
3,6,11,1200,1049.36294149937,5.66935902692504,265,0.0788270896264464,3,6,11,0.013286258463717,11,22,40
4,4,5,0,386.313713864835,5.57142295776754,259,0.105691306968977,4,4,5,0.0108223548899649,23,23,29
4,4,7,0,968.825906469125,5.55778371377164,248,0.0926140757222892,4,4,7,0.0132843741906083,17,17,30
4,5,5,386.313713864835,0,5.63846586638657,265,0.0989922789113076,4,5,5,0.0101189228163691,25,31,31
4,5,6,386.313713864835,315.641287000553,5.72383950925784,264,0.093979137226235,4,5,6,0.0066122866275799,35,44,53
4,5,7,386.313713864835,582.51219260429,5.73779198694503,267,0.0896587235593161,4,5,7,0.00615274995083047,35,44,61
4,5,8,386.313713864835,813.686286135165,5.73482189359644,269,0.0853797908554198,4,5,8,0.00874253922642435,23,29,46
4,5,9,386.313713864835,1017.59628786594,5.73174293300603,268,0.0821700901544553,4,5,9,0.00968850036386393,21,26,47
4,5,10,386.313713864835,1200,5.75690823168411,269,0.0796695629712497,4,5,10,0.00814376805328646,25,31,62
4,6,7,701.955000865387,266.870905603738,5.75292718329282,266,0.0844349250252536,4,6,7,0.00605558674555499,34,51,60
4,6,9,701.955000865387,701.955000865387,5.77289673223304,266,0.0775957233693651,4,6,9,0.00715514972824103,26,39,59
4,7,7,968.825906469125,0,5.70658965856105,260,0.0800953816632881,4,7,7,0.0114567160727355,17,30,30
4,7,8,968.825906469125,231.174093530875,5.73460378929018,264,0.0763592704254898,4,7,8,0.0109528180607857,17,30,34
4,7,9,968.825906469125,435.08409526165,5.78676907445372,268,0.0734230575544632,4,7,9,0.00680503256957907,27,47,61
5,5,6,0,315.641287000553,5.62957084792555,264,0.0853123613697327,5,5,6,0.0130964570561192,19,19,23
5,5,7,0,582.51219260429,5.61172378787249,257,0.0809198959331751,5,5,7,0.014508731106176,17,17,24
5,5,8,0,813.686286135165,5.59948127113419,247,0.0770662551555346,5,5,8,0.0155240763684636,13,13,21
5,5,9,0,1017.59628786594,5.580854531084,243,0.0738814582540091,5,5,9,0.0169333913095525,14,14,25
5,6,6,315.641287000553,0,5.67424248753052,262,0.0815615387567138,5,6,6,0.0124955721924821,21,25,25
5,6,7,315.641287000553,266.870905603738,5.76345121865657,267,0.0782632663860263,5,6,7,0.00804930698233428,29,35,41
5,6,8,315.641287000553,498.044999134612,5.7816105218772,269,0.074968766965406,5,6,8,0.00656727310287431,33,40,53
5,7,7,582.51219260429,0,5.71195257178599,269,0.0731748255387951,5,7,7,0.0130835134070873,17,24,24
6,6,7,0,266.870905603738,5.64678404132363,265,0.0725629857508762,6,6,7,0.0156124300909658,17,17,20
